statistic,value
matches_played,13
minutes_played,1129
goals_scored,2
xG,1.35
shots,15
shots_on_target,4
big_chances_missed,2
assists,6
xA,3.17
key_passes,24
big_chances_created,2
successful_dribbles,59
accurate_passes,424
pass_accuracy,78.4
accurate_long_balls,35
long_ball_accuracy,48.6
accurate_crosses,32
cross_accuracy,50.8
errors_leading_to_goal,0
suffered_dribbles,8
clearances,0
interceptions,15
blocked_shots,6
aerial_duels_won,3
points_per_match,1.54
team_goals_scored_on,20
team_goals_conceded_on,16
team_goals_scored_off,0
team_goals_conceded_off,3
plus_minus,4
plus_minus_per90,+0.32
onOff_net_goals_per90,+5.83
